,approx,time,open,high,low,close
0,1546297200000,2019-01-01 00:00:00,3689.0,3698.5,3684.0,3695.5
1,1546300800000,2019-01-01 01:00:00,3697.0,3705.5,3687.5,3696.5
2,1546304400000,2019-01-01 02:00:00,3699.0,3699.0,3680.0,3680.5
3,1546308000000,2019-01-01 03:00:00,3681.0,3686.0,3673.0,3680.5
4,1546311600000,2019-01-01 04:00:00,3682.0,3689.5,3681.0,3688.5
5,1546315200000,2019-01-01 05:00:00,3689.0,3696.0,3686.5,3689.5
6,1546318800000,2019-01-01 06:00:00,3689.5,3694.5,3689.0,3693.5
7,1546322400000,2019-01-01 07:00:00,3693.5,3696.5,3688.0,3694.5
8,1546326000000,2019-01-01 08:00:00,3692.0,3713.0,3692.0,3708.0
9,1546329600000,2019-01-01 09:00:00,3707.5,3727.0,3702.5,3713.0
10,1546333200000,2019-01-01 10:00:00,3713.0,3713.0,3695.5,3695.5
11,1546336800000,2019-01-01 11:00:00,3696.0,3707.0,3695.5,3706.0
12,1546340400000,2019-01-01 12:00:00,3706.0,3714.0,3701.5,3701.5
13,1546344000000,2019-01-01 13:00:00,3701.5,3716.5,3698.0,3715.5
14,1546347600000,2019-01-01 14:00:00,3715.0,3724.0,3705.5,3716.5
15,1546351200000,2019-01-01 15:00:00,3716.5,3716.5,3692.5,3697.0
16,1546354800000,2019-01-01 16:00:00,3696.5,3696.5,3673.0,3679.0
17,1546358400000,2019-01-01 17:00:00,3679.0,3691.0,3676.0,3689.0
18,1546362000000,2019-01-01 18:00:00,3689.0,3693.5,3678.5,3688.0
19,1546365600000,2019-01-01 19:00:00,3687.0,3687.5,3653.5,3658.0
20,1546369200000,2019-01-01 20:00:00,3658.0,3699.5,3658.0,3696.0
21,1546372800000,2019-01-01 21:00:00,3696.0,3724.0,3692.0,3711.0
22,1546376400000,2019-01-01 22:00:00,3721.0,3731.0,3712.0,3717.0
23,1546380000000,2019-01-01 23:00:00,3717.0,3720.0,3703.0,3718.0
24,1546383600000,2019-01-02 00:00:00,3716.0,3826.5,3716.0,3821.0
25,1546387200000,2019-01-02 01:00:00,3821.5,3831.5,3794.5,3798.5
26,1546390800000,2019-01-02 02:00:00,3799.0,3804.5,3790.0,3792.0
27,1546394400000,2019-01-02 03:00:00,3792.5,3801.5,3791.5,3800.0
